,date,title,text,link
0,2022-11-11,鴻海劉揚偉首度說明鄭州廠內情競爭者要搶單？「機會不大！」,鴻海11月10日召開法說會，董事長劉揚偉面對富士康鄭州廠疫情後續，回答法人媒體質疑。他承認第四季產能、毛利可能會受到影響，但對立訊、和碩可能搶走高階機種訂單，他毫不擔心。為什麼？,https://www.cw.com.tw/article/5123506
1,2022-11-09,「人才基地計畫」串連產官學研，打造半導體實務戰力人才,隨著5G、物聯網、人工智慧(AI)等創新科技引領臺灣科技發展，對於科技人才的需求也逐年增加，為保持臺灣科技島的優勢，經濟部工業局整合產官學資源及研究單位研發能量推動「產學研工程人才實務能力卓越基地計畫」（以下簡稱人才基地計畫），引導一般大學及科大學生參與國家大型半導體關鍵技術實務研發計畫，透過專題的實作訓練，快速累積青年學子實務即戰力，擴充產業人才庫。,https://www.cw.com.tw/article/5123397
2,2022-11-04,iKala Cloud攜手Alkira助企業網路雲端化，全面提升企業營運效能,大缺工時代，企業雲端轉型，最缺雲端人才。iKala旗下雲端事業iKala Cloud與雲端網路路由商(Cloud Networking)－Alkira合作，為企業客戶提供革命性的Alkira網路即服務（NaaS）解決方案，協助企業網路雲端化，縮短企業回應市場（Time to Market）的時間、減輕IT人員的工作負擔，進而提升整體營運效能。,https://www.cw.com.tw/article/5123408
3,2022-11-01,歐洲直擊｜藏身小城的台積大腦、EUV誕生地：少了台灣，半導體一夕垮掉,全球最強大的半導體實驗室，藏在人口比台東市還少的比利時小城。一家非營利研究機構，卻是台積電、英特爾、三星背後的最強大腦。而一群來自台灣的工程師，更在這兒扮演舉足輕重的角色，驗證半導體的尖端研究，不能沒有台灣。,https://www.cw.com.tw/article/5123405
4,2022-11-01,老文件揭張忠謀40年前神預言晶圓教父的產地，要感謝一位教授,【陳良榕專欄】最先提出晶圓代工的，究竟是曹興誠還是張忠謀？新挖掘的老文件，揭露張忠謀40年前的神預言。而他的點子與今日IC產業，可歸功於一位教授。,https://www.cw.com.tw/article/5123368
5,2022-10-31,科技時代下的文化產業革新 — 科技結合文化，釋放產業想像,由文化內容策進院主辦的TCCF創意內容大會-未來內容展，今年主題為「擴增宇宙 運算中」（Future Processing ），參展作品呈現科技結合文化的新型態應用，不只改變大眾體驗沉浸式作品的路徑與思維，更賦予產業多元意義。,https://www.cw.com.tw/article/5123328
6,2022-10-29,為什麼大家搶挖比特幣？一次搞懂Web 3.0加密貨幣的數位資產價值,人人自己「印鈔票」的概念，其實已經在發生。,https://www.cw.com.tw/article/5123340
7,2022-10-28,440億美元收購》馬斯克變Twitter老闆會發生什麼事？,馬斯克終於在週四晚間以440億美元，完成了買下Twitter的交易。一上任就瞬間開除4名高階主管，他接下來還會有什麼動作？對世界又有什麼影響？,https://www.cw.com.tw/article/5123332
8,2022-10-27,疫情大餅吃完了？矽谷科技巨頭將迎來寒冬,過去十年，科技業帶領著美國的經濟發展，並在Covid-19肆虐時提振了股市，但如今面臨多重不穩定因素，即使是矽谷最強科技巨頭的表現都暗示著：艱難的日子可能要來了。,https://www.cw.com.tw/article/5123313
9,2022-10-26,台積本益比接近金融海嘯時期高盛直指恐面臨六大風險,兩岸地緣政治風險嚇壞全球投資人，衝擊台積電股價25日下探兩年多來新低。外資高盛證券認為，台積電股價已處在十年交易的歷史低端，本益比接近金融海嘯時期，但仍可能面臨六大風險。,https://www.cw.com.tw/article/5123289
10,2022-10-24,Aptos公鏈在紅什麼？,在熊市突然上線主網、空投代幣獎勵引發幣圈「科學家」熱議的新明星公鏈Aptos是什麼來頭？它有什麼特色？主要對手是誰？,https://www.cw.com.tw/article/5123273
11,2022-10-24,美國為何能掐住中國半導體命脈？一張圖表看懂,美國在10月上旬針對中國大陸宣布新的晶片與相關產品出口管制措施，要利用美國在半導體供應鏈關鍵領域中的強勢地位，阻止中國先進晶片的發展。華爾街日報利用一張圖表，凸顯美中在晶片供應鏈的勢力比重，說明了為何美國有能力可以掐住大陸發展半導體的命脈。,https://www.cw.com.tw/article/5123265
12,2022-11-11,鴻海劉揚偉首度說明鄭州廠內情競爭者要搶單？「機會不大！」,鴻海11月10日召開法說會，董事長劉揚偉面對富士康鄭州廠疫情後續，回答法人媒體質疑。他承認第四季產能、毛利可能會受到影響，但對立訊、和碩可能搶走高階機種訂單，他毫不擔心。為什麼？,https://www.cw.com.tw/article/5123506
